id,participation,category,institution,orientation principles to mitigation post 2020,impacts on economy,modality to mitigation contribution,contribution time horizon,comments,contribution to adaptation targets,attention to adaptation climate change,regarding means of implementation,sources of financing to implemention targets,international financing,"comments on implementation means
	 ","criteria, assumptions and general principals to Brazillian position as premissas e os princípios gerais que devem orientar a contribuição do Brasil ao novo acordo.

	 "
28,Individual,academia,,"As reduções ocorreram apenas no setor de mudança do uso da terra e florestas, o Brasil precisa ainda reduzir emissões em outros setores.","Deve-se privilegiar ações que reduzam a taxa de crescimento das emissões, sem criar impedimento ao desenvolvimento econômico e social.",Abordagens mistas que combinem duas ou mais das modalidades acima.,Múltiplos períodos,"Mais  investimentos em: i)desenvolvimento de boas práticas de sustentabilidade na sociedade em geral (escolas, empresas), por exemplo, de reciclagem; ii) desenvolvimento e uso de fontes alternativas de energia renovável (biocombustíveis, biomassa, energia eólica e solar); programas de conscientização da população em relação aos efeitos das mudanças climáticas sobre a sua vida diária e a necessidade de preservação do meio ambiente e de se engajarem ações de mitigação e adaptação.","Apresentação de melhores práticas em redução de vulnerabilidades e adaptação, para fins de colaboração internacional.",,"Algumas ações de combate à mudança do clima dos países em desenvolvimento devem ser realizadas com recursos próprios na medida do possível, mas esforços adicionais dependem de recursos financeiros e transferência de tecnologia de países desenvolvidos, de forma a não comprometer a prioridade ao desenvolvimento econômico e social e à erradicação da pobreza.","O Brasil atingiu um grau de desenvolvimento considerável, mas ainda precisará de recursos internacionais para implementar efetivamente sua contribuição nacional ao novo acordo sob a Convenção.","Havendo recursos disponíveis, o Brasil pode apoiar voluntariamente outros países em desenvolvimento na implementação de suas respectivas ações de mitigação e/ou adaptação, por meio de iniciativas Sul-Sul.",,
31,Individual,setor empresarial,,"As reduções ocorreram apenas no setor de mudança do uso da terra e florestas, o Brasil precisa ainda reduzir emissões em outros setores.",É aceitável que ações de mitigação impliquem algum grau de redução na atividade econômica.,Abordagens mistas que combinem duas ou mais das modalidades acima.,Múltiplos períodos,"Redução e limitações de emissões, buscando e apoiando recursos nacionais.","Apresentação de melhores práticas em redução de vulnerabilidades e adaptação, para fins de colaboração internacional.",Em setores industriais.,"Todos os países têm obrigações no combate à mudança do clima, mas as ações de países em desenvolvimento necessitam de recursos internacionais e transferência de tecnologia para serem mais efetivas. Ações de combate à mudança do clima devem ser conciliadas com a prioridade ao desenvolvimento econômico e social e com a erradicação da pobreza.","O Brasil deve implementar ações de mitigação que sejam de interesse nacional com recursos próprios, de acordo com a capacidade financeira do país. Poderão ser realizadas ações adicionais de mitigação, se houver apoio financeiro e tecnológico dos países desenvolvidos.","Havendo recursos disponíveis, o Brasil pode apoiar voluntariamente outros países em desenvolvimento na implementação de suas respectivas ações de mitigação e/ou adaptação, por meio de iniciativas Sul-Sul.",,
33,Representante de organização ou instituição,setor publico,Governo do Estado de Pernambuco,"As reduções ocorreram apenas no setor de mudança do uso da terra e florestas, o Brasil precisa ainda reduzir emissões em outros setores.","Deve-se privilegiar ações que reduzam a taxa de crescimento das emissões, sem criar impedimento ao desenvolvimento econômico e social.","Redução ou limitação de emissões ""per capita"". Isto é, a relação entre o total de emissões em toneladas de CO2eq  e a população do país.",Até 2025,,Apresentação de um plano ou estratégia nacional de adaptação.,"devemos concentrar as ações nos centros urbanos, com medidas de regulação de uso do solo urbano e fortalecimento das defesas civis locais","Todos os países têm obrigações no combate à mudança do clima, mas as ações de países em desenvolvimento necessitam de recursos internacionais e transferência de tecnologia para serem mais efetivas. Ações de combate à mudança do clima devem ser conciliadas com a prioridade ao desenvolvimento econômico e social e com a erradicação da pobreza.","O Brasil atingiu um grau de desenvolvimento considerável, mas ainda precisará de recursos internacionais para implementar efetivamente sua contribuição nacional ao novo acordo sob a Convenção.",Eventual compromisso de apoio do Brasil a outros países em desenvolvimento deve ser condicionado ao apoio efetivamente prestado por países desenvolvidos.,,O Brasil deve exigir maior compromisso dos países desenvolvidos em redução de gases de efeito estufa e apoiar os processos de desenvolvimento sustentáveis para os países em desenvolvimento
34,Individual,setor empresarial,,"O esforço de mitigação brasileiro já é substancial, o Brasil cumpriu sua parte com o compromisso voluntário até 2020. Reduções adicionais apresentarão custos marginais muito elevados.",Não é aceitável que ações de mitigação levem à redução na atividade econômica.,,Nenhuma das anteriores (justifique ao final do bloco).,"O Brasil não deve participar de nenhum acordo de mitigação de emissões de carbono. Não existe comprovação de que isso terá impacto significativo no clima. Mesmo que se conseguisse comprovar tal impacto, não foi feita nenhuma análise séria de custo-benefício de se adotar tais medidas. Cabe lembrar que vivemos em um país de renda média, onde boa parte da população ainda é pobre e que, portanto, comprometer o crescimento da economia com políticas ambientalistas significa colocar o futuro dessas pessoas em jogo em nome de uma causa que é, na melhor das hipóteses, incerta.",Nenhuma das anteriores (justifique ao final do bloco),"Novamente, o Brasil deveria se retirar da Convenção do clima e se recusar a assinar qualquer acordo de comparação sobre o tema. A própria existência de um  ""Comitê Interministerial sobre Mudança do Clima"" representa desperdício de valiosos recursos dos cidadãos brasileiros. Não existem exemplos bem sucedidos de ""Adaptação"", uma vez que todas políticas desse tipo tem custos altíssimos e resultados, na melhor das hipóteses, questionáveis.",Nenhuma das anteriores (justifique ao final do bloco).,Nenhuma das anteriores (justifique ao final do bloco),Nenhuma das anteriores (justifique ao final do bloco).,"O Governo Brasileiro não tem direito de expropriar recursos dos seus cidadãos para aplicar em políticas de combate da mudança climática, também não tem direito de exigir que cidadãos de outros países paguem por essas políticas,e muito pior, não tem direito de expropriar seus cidadãos para pagar por políticas desse tipo em outros países. Qualquer pessoa que acredite que deve pagar por ações de mudança do clima deve fazer isso através de contribuição voluntária de seus próprios recursos, impor isso aos outros é uma violação injustificada dos direitos de propriedade.","A única contribuição válida que se pode fazer a um acordo desse tipo é denunciar o alto custo e a pouca eficácia desse tipo de política. O custo desse tipo de política é particularmente nefasto para as populações de baixa renda, uma vez que seu impacto nos preços de alimentos e energia impede ganhos de qualidade de vida dessas populações. Por exemplo, impor que países pobres utilizem fontes renováveis de energia, que são significativamente mais caras, pode reduzir o acesso das populações desses países à energia elétrica. Para os grupos ambientalistas, que desejam uma ""volta às cavernas"", esse cenário está próximo de um sonho, para qualquer pessoa sensata e preocupada com o progresso e o bem estar dos indivíduos, isso é um pesadelo."
35,Individual,setor empresarial,,"O esforço é substancial e, portanto, o compromisso nacional voluntário atual deverá ser prorrogado no período pós-2020.",É aceitável que ações de mitigação impliquem algum grau de redução na atividade econômica.,,,,,,,,,,
36,Individual,setor publico,,"As reduções ocorreram apenas no setor de mudança do uso da terra e florestas, o Brasil precisa ainda reduzir emissões em outros setores.","Deve-se privilegiar ações que reduzam a taxa de crescimento das emissões, sem criar impedimento ao desenvolvimento econômico e social.",Abordagens mistas que combinem duas ou mais das modalidades acima.,Até 2050,,Monitoramento dos impactos observados em nível nacional e local,,"Algumas ações de combate à mudança do clima dos países em desenvolvimento devem ser realizadas com recursos próprios na medida do possível, mas esforços adicionais dependem de recursos financeiros e transferência de tecnologia de países desenvolvidos, de forma a não comprometer a prioridade ao desenvolvimento econômico e social e à erradicação da pobreza.","O Brasil atingiu um grau de desenvolvimento considerável, mas ainda precisará de recursos internacionais para implementar efetivamente sua contribuição nacional ao novo acordo sob a Convenção.","O Brasil deve concentrar seus recursos na implementação de sua contribuição nacional, sem assumir obrigações de apoio a outros países em desenvolvimento.",,
40,Individual,academia,,"O Brasil demonstrou ser capaz de reduzir emissões de forma ambiciosa, mas ainda pode fazer mais em todos os setores.",Os benefícios coletivos de ações de mitigação superam eventuais perdas econômicas de setores específicos.,"Ações ou políticas setoriais, com objetivos definidos para cada setor separadamente. Isto é, ações que utilizem diferentes métricas específicas, não necessariamente em toneladas de CO2eq, como, por exemplo, aumentar a participação de tecnologias de baixa emissão de carbono em um determinado setor ou reduzir a área de desmatamento.",Múltiplos períodos,,"Apresentação de melhores práticas em redução de vulnerabilidades e adaptação, para fins de colaboração internacional.",,"Todos os países têm obrigações no combate à mudança do clima, mas as ações de países em desenvolvimento necessitam de recursos internacionais e transferência de tecnologia para serem mais efetivas. Ações de combate à mudança do clima devem ser conciliadas com a prioridade ao desenvolvimento econômico e social e com a erradicação da pobreza.","O Brasil deve implementar ações de mitigação que sejam de interesse nacional com recursos próprios, de acordo com a capacidade financeira do país. Poderão ser realizadas ações adicionais de mitigação, se houver apoio financeiro e tecnológico dos países desenvolvidos.","O Brasil deve assumir o compromisso de apoiar outros países em desenvolvimento na implementação de suas respectivas ações de mitigação e/ou adaptação, por meio de iniciativas Sul-Sul.",,
42,Representante de organização ou instituição,setor empresarial,C3- Floresta,"As reduções ocorreram apenas no setor de mudança do uso da terra e florestas, o Brasil precisa ainda reduzir emissões em outros setores.",Os potenciais impactos da falta de ação global superam eventuais perdas econômicas.,Abordagens mistas que combinem duas ou mais das modalidades acima.,Até 2050,"Um cenario de aquecimento superior 2 graus, carrega consigo o risco de desencadear processos biogeoquimicos de retroalimentação das emissões de GEE, criando um circulo vicioso de aquecimento/emissoes. esse panorama reduziria muito a ""margem de manobra"" da civilizacao para conter o processo e tambem se adaptar. Desse modo  entende-se que todos os melhores esforcos devem ser empregados nos proximos 50 anos, por todas as nacoes, a fim de deter o aquecimento ao teto ja acordado. É do entendimento da maioria dos especialistas, que toda a economia (ou abdicacao de receita) feita nesse sentido será, no longo prazo, mais vantajoso do ponto de vista, economico, politico, social, cultural e ambiental, do que qualquer abordagem politico-econometrica de curto prazo, calcada na pratica comum. isso aplica-se tanto aos segmento energético e de transformação, quanto os de uso do solo.",Apresentação de um plano ou estratégia nacional de adaptação.,"programas de adaptacao multisetoriais voltados  principalmente ao semi-arido nordestino, bem como areas urbanas e rurais, sujeitas a inundações e deslisamentos.","Algumas ações de combate à mudança do clima dos países em desenvolvimento devem ser realizadas com recursos próprios na medida do possível, mas esforços adicionais dependem de recursos financeiros e transferência de tecnologia de países desenvolvidos, de forma a não comprometer a prioridade ao desenvolvimento econômico e social e à erradicação da pobreza.","O Brasil deve implementar ações de mitigação que sejam de interesse nacional com recursos próprios, de acordo com a capacidade financeira do país. Poderão ser realizadas ações adicionais de mitigação, se houver apoio financeiro e tecnológico dos países desenvolvidos.","O Brasil deve assumir o compromisso de apoiar outros países em desenvolvimento na implementação de suas respectivas ações de mitigação e/ou adaptação, por meio de iniciativas Sul-Sul.",,"revisao de criteiros para finaciamento das atividades economicas relacionadas ao uso do solo e produçao agricola, priorizando sistemas produtivos mais resilientes e com melhor balanco de GEEs . manter a ampliacao do parque eolico e planejar uma politica nacional de proveitamento da energia solar e de biomassa."
44,Individual,setor publico,,"As reduções ocorreram apenas no setor de mudança do uso da terra e florestas, o Brasil precisa ainda reduzir emissões em outros setores.",É aceitável que ações de mitigação impliquem algum grau de redução na atividade econômica.,"Redução ou limitação de emissões ""per capita"". Isto é, a relação entre o total de emissões em toneladas de CO2eq  e a população do país.",Múltiplos períodos,,Apresentação de um plano ou estratégia nacional de adaptação.,"Mudança do regime de chuvas, com maior intensidade de secas e cheias - bem como um eventual aumento do nível do mar.","Todos os países têm obrigações no combate à mudança do clima, mas as ações de países em desenvolvimento necessitam de recursos internacionais e transferência de tecnologia para serem mais efetivas. Ações de combate à mudança do clima devem ser conciliadas com a prioridade ao desenvolvimento econômico e social e com a erradicação da pobreza.","O Brasil atingiu um grau de desenvolvimento considerável, mas ainda precisará de recursos internacionais para implementar efetivamente sua contribuição nacional ao novo acordo sob a Convenção.","O Brasil deve assumir o compromisso de apoiar outros países em desenvolvimento na implementação de suas respectivas ações de mitigação e/ou adaptação, por meio de iniciativas Sul-Sul.",,"Responsabilidades comuns, porém, diferenciadas. Busca por métricas que reflitam o princípio do poluidor pagador. Posição de liderança."
45,Individual,setor publico,,"As reduções ocorreram apenas no setor de mudança do uso da terra e florestas, o Brasil precisa ainda reduzir emissões em outros setores.",É aceitável que ações de mitigação impliquem algum grau de redução na atividade econômica.,Abordagens mistas que combinem duas ou mais das modalidades acima.,Até 2030,,"Apresentação de melhores práticas em redução de vulnerabilidades e adaptação, para fins de colaboração internacional.",,"Todos os países têm obrigações no combate à mudança do clima, mas as ações de países em desenvolvimento necessitam de recursos internacionais e transferência de tecnologia para serem mais efetivas. Ações de combate à mudança do clima devem ser conciliadas com a prioridade ao desenvolvimento econômico e social e com a erradicação da pobreza.","O Brasil atingiu um grau de desenvolvimento considerável, mas ainda precisará de recursos internacionais para implementar efetivamente sua contribuição nacional ao novo acordo sob a Convenção.","O Brasil deve apoiar os países de menor desenvolvimento relativo, de maneira voluntária e quando solicitado, por meio de iniciativas Sul-Sul.",,"Reduzir a taxação tributária Federal, Estadual e Municipal incidente sobre:
Geração de Energia Renovável como Energia EÓLICA e Energia por PAINÉIS SOLARES. 
Idem Aquecimento de água por Painéis Solares. 
Idem Veículos Híbridos e Elétricos.
Idem para Bicicletas e Bicicletas Elétricas.
Idem para Sistemas de Transporte Público
Movidos à Eletricidade. "
