Public_Sector,freq
rate,2
concept,2
principle,2
exhaustive,2
recent,2
situation,2
normal,2
registration,2
weather,2
drought,2
subnational,2
happened,2
job,2
risk,2
redundancy,2
p,2
ton,2
generated,2
gap,2
saving,2
inhospitable,2
continue,2
carry,2
delay,2
river,2
pillar,2
adopting,2
positive,2
total,2
quickly,2
significantly,2
billion,2
ambitious,2
gramsci,2
limitation,2
disappear,2
portion,2
ago,2
worldwide,2
monitor,2
case,2
duration,2
tectonic,2
quantifiable,2
border,2
whole,2
partial,1
around,1
periodic,1
redefinition,1
sustainability,1
staff,1
apportionment,1
comparison,1
perceived,1
fraction,1
doubt,1
ass,1
cancun,1
including,1
value,1
institute,1
given,1
estimate,1
allocation,1
presented,1
invariably,1
formulation,1
context,1
execute,1
differentiation,1
justification,1
noteworthy,1
observer,1
criterion,1
compared,1
pre,1
expert,1
attribution,1
weight,1
american,1
stockholm,1
stabilization,1
practically,1
neglected,1
topic,1
guided,1
primarily,1
convention,1
concentration,1
legislative,1
dangerous,1
anthropic,1
interference,1
consensus,1
defines,1
relatively,1
adverse,1
bench,1
ecoequity,1
private,1
impacted,1
taken,1
project,1
adopt,1
charge,1
discourage,1
car,1
ruralist,1
instead,1
depending,1
ipi,1
actually,1
fight,1
tighten,1
safe,1
ceiling,1
reflects,1
various,1
höhne,1
propose,1
latin,1
cumulative,1
compatible,1
analyzing,1
sharing,1
signatory,1
mcti,1
simulation,1
application,1
equity,1
reference,1
calculator,1
longer,1
mathews,1
ibge,1
estimated,1
coe,1
caput,1
bank,1
projected,1
maturation,1
corresponds,1
keeping,1
maximizes,1
ar,1
scenario,1
substantially,1
allocating,1
rule,1
translation,1
critically,1
difficult,1
climatic,1
unnecessary,1
photosynthesis,1
ocean,1
recorded,1
live,1
holocene,1
several,1
certainly,1
failed,1
requested,1
milder,1
universe,1
standing,1
insufficient,1
complexity,1
variable,1
meeting,1
used,1
fully,1
price,1
depletion,1
ozone,1
absorb,1
rather,1
emitted,1
absorbed,1
converted,1
brsil,1
remember,1
organization,1
kinetic,1
dissipates,1
entropy,1
heat,1
isobarically,1
side,1
spent,1
invested,1
something,1
hide,1
hypocrisy,1
useless,1
mine,1
lacking,1
heavily,1
text,1
likewise,1
heard,1
never,1
obviously,1
everyone,1
know,1
really,1
serve,1
divert,1
attention,1
expressing,1
power,1
posse,1
arrogance,1
proven,1
flawed,1
assumption,1
crucial,1
solve,1
anything,1
consolation,1
judgment,1
fail,1
come,1
prepared,1
wasted,1
fallacy,1
sahara,1
opinion,1
formation,1
constant,1
exception,1
maker,1
significjust,1
quote,1
tab,1
graf,1
admitting,1
consistent,1
summary,1
conform,1
lost,1
pag,1
enough,1
scientist,1
decide,1
sure,1
law,1
physic,1
individuallydescobertas,1
original,1
spread,1
truth,1
moral,1
basesof,1
strategically,1
incorporates,1
proper,1
transforming,1
distorted,1
incontrovertible,1
argument,1
speak,1
conveniently,1
far,1
resolved,1
socialize,1
discovery,1
obey,1
edufal,1
trace,1
zone,1
book,1
ghg,1
near,1
u,1
deterioration,1
habitable,1
guide,1
demonization,1
non,1
fragile,1
contrary,1
glossary,1
stem,1
absorption,1
concrete,1
initiate,1
soil,1
right,1
interdisciplinary,1
contaminate,1
maceió,1
existent,1
villain,1
control,1
remembering,1
modification,1
getulio,1
polluting,1
rejane,1
mara,1
dialogue,1
broad,1
emphasize,1
liquid,1
structural,1
rise,1
address,1
viable,1
kind,1
drinking,1
strategic,1
input,1
alteration,1
matrix,1
last,1
item,1
adoption,1
production,1
easy,1
implement,1
abandonment,1
mandatory,1
requirement,1
solution,1
biodiesel,1
hinder,1
overcome,1
believed,1
occupation,1
watercourse,1
margin,1
channeling,1
stream,1
air,1
care,1
highlighted,1
represent,1
ministry,1
concerned,1
paramount,1
attentive,1
acting,1
mcmv,1
extension,1
fulfilled,1
prosper,1
unisdr,1
domestic,1
partner,1
promotes,1
individual,1
treatment,1
http,1
www,1
durbanadaptationcharter,1
org,1
adopted,1
subsidy,1
massive,1
integrate,1
benchmark,1
trained,1
involved,1
regard,1
exchange,1
strongly,1
code,1
sufficient,1
usa,1
europe,1
established,1
associating,1
player,1
market,1
encourage,1
furthermore,1
european,1
sewage,1
key,1
review,1
revert,1
timely,1
manner,1
eg,1
containment,1
pass,1
many,1
reservoir,1
extended,1
drastic,1
engineering,1
bear,1
mind,1
magnitude,1
seek,1
removal,1
affected,1
protocol,1
geographical,1
transnational,1
affect,1
explored,1
detailing,1
rebate,1
mode,1
detail,1
commencement,1
reconcile,1
aggressive,1
word,1
biased,1
demonstrated,1
abatement,1
fire,1
gain,1
growth,1
mass,1
migration,1
occurring,1
suffer,1
opening,1
pasture,1
secretariat,1
suburb,1
irregular,1
housing,1
restrictive,1
specifically,1
likely,1
worse,1
effectively,1
seems,1
maximizing,1
preventing,1
burning,1
livestock,1
haiti,1
geography,1
cannot,1
ignore,1
entire,1
region,1
transformed,1
inhabited,1
concentrate,1
flood,1
center,1
regulate,1
strengthen,1
civil,1
defense,1
intensity,1
integrating,1
turn,1
economically,1
differentiated,1
seat,1
un,1
council,1
favored,1
waiting,1
properly,1
rewarded,1
failure,1
lulucf,1
serious,1
possibly,1
affecting,1
commercial,1
communication,1
becomes,1
improvement,1
feeding,1
meet,1
interactional,1
recognizing,1
performance,1
degradation,1
norway,1
inconsistency,1
indicated,1
act,1
agenda,1
induce,1
direction,1
lot,1
move,1
forward,1
situated,1
common,1
search,1
deepening,1
reflect,1
moment,1
experiencing,1
informatics,1
gdp,1
liberated,1
secondary,1
produce,1
multiple,1
intangible,1
wealth,1
produced,1
employed,1
diluting,1
balanced,1
cease,1
geopolitical,1
decisive,1
emerge,1
wind,1
polluter,1
pay,1
state,1
municipal,1
taxation,1
levied,1
idem,1
southern,1
hybrid,1
vehicle,1
transport,1
powered,1
electricity,1
applied,1
redd,1
arising,1
expected,1
adapt,1
connection,1
article,1
analysis,1
martin,1
obermaier,1
luiz,1
pinguelli,1
rosa,1
aforementioned,1
author,1
published,1
scielo,1
translates,1
theme,1
little,1
rising,1
northeastern,1
body,1
priori,1
participating,1
signing,1
accompanying,1
provide,1
general,1
greatest,1
seen,1
changing,1
ipam,1
prioritize,1
open,1
faster,1
indigenous,1
stopped,1
notably,1
landslide,1
proportional,1
revaluation,1
vision,1
transversally,1
incorporated,1
infrastructure,1
offered,1
develop,1
permanent,1
aimed,1
decrease,1
decentralized,1
monitored,1
orientation,1
positioning,1
mitigate,1
foresee,1
orienting,1
answered,1
dependence,1
none,1
absence,1
match,1
suggested,1
scale,1
subordination,1
unacceptable,1
compose,1
respective,1
successful,1
proved,1
chosen,1
collaboration,1
diffusion,1
achievement,1
