Private_Sector,freq
available,4
discussion,4
prevent,4
basic,4
us,4
since,4
continue,4
heavily,4
absolute,4
agreed,4
established,4
extreme,4
net,4
reality,4
cutting,4
today,4
something,4
like,4
south,4
income,4
vulnerability,4
nation,4
recently,4
greater,4
education,4
transport,4
competitive,4
reservoir,4
technological,4
commonbut,4
material,4
resistant,4
specie,4
observed,4
invested,4
resulting,4
continuity,4
sustainability,4
u,4
convention,4
existence,4
update,4
caput,4
issue,4
stop,4
flexible,4
bottleneck,4
price,4
regulated,4
financing,4
adjustment,4
defined,4
conditioning,4
poverty,4
answer,4
exclusive,4
guide,4
compensation,4
insertion,4
regard,4
intended,4
clean,4
strongly,4
comparative,4
loss,4
recognition,4
short,4
expected,4
face,4
protocol,4
economically,4
valued,4
selection,3
serve,3
building,3
incremental,3
deforestation,3
breeding,3
expand,3
cause,3
raw,3
provided,3
curve,3
deviation,3
tropical,3
gdp,3
bndes,3
event,3
sign,3
difficulty,3
biomass,3
people,3
premise,3
control,3
requires,3
subsidy,3
information,3
involved,3
million,3
relevance,3
formation,3
various,3
forexample,3
ghg,3
seeking,3
diversity,3
sense,3
represents,3
basis,3
biodiversity,3
cannot,3
heating,3
fossil,3
deeper,3
almost,3
research,3
cleaner,3
tenuous,3
differentiatedresponsibilities,3
let,3
real,3
technical,3
paper,3
difference,3
sustainable,3
perception,3
sectoral,3
waste,3
seems,3
study,3
determined,3
incentive,3
kyoto,3
stock,3
situation,3
pay,3
internal,3
socioeconomic,3
interest,3
bring,3
orientation,3
specifically,3
bloc,3
discriminatory,3
multilaterally,3
european,3
relative,3
productivity,3
commercial,3
existing,3
proactive,3
responsible,3
possibility,3
group,3
properly,3
others,3
approach,3
option,3
preferably,3
serf,3
connection,3
strong,3
structural,3
occasion,3
overcoming,3
facilitating,3
abatement,3
accept,3
accompanied,3
eradication,3
oecd,3
x,3
renewables,3
cleanest,3
maintains,3
relevantly,3
recent,3
reduced,3
first,3
importance,3
improving,3
extent,3
private,3
mitigate,3
external,3
set,3
much,3
post,3
maximum,3
emerging,3
nature,3
itsnamas,2
enable,2
imposing,2
combat,2
ton,2
anyone,2
share,2
electric,2
eliminated,2
capital,2
flood,2
thus,2
generating,2
directly,2
ensures,2
company,2
funding,2
semiarid,2
consistent,2
weather,2
application,2
ingeneral,2
equitable,2
allow,2
property,2
incorporation,2
continuous,2
perspective,2
enterprise,2
comparable,2
expropriate,2
afford,2
wind,2
biggest,2
green,2
bank,2
poor,2
cheaper,2
cotton,2
ecosystem,2
solely,2
middle,2
defines,2
releasing,2
purpose,2
currently,2
regardlessof,2
training,2
ensuring,2
phase,2
guideline,2
compromising,2
wewould,2
analysis,2
relevant,2
know,2
towards,2
reached,2
sufficient,2
give,2
serious,2
progress,2
combine,2
chemical,2
require,2
inbrazil,2
gw,2
fiber,2
mobility,2
defining,2
modified,2
clearly,2
obtaining,2
ofghg,2
role,2
represent,2
define,2
dependent,2
surroundings,2
risk,2
showing,2
latin,2
america,2
usa,2
canada,2
win,2
principleof,2
attract,2
evident,2
integrated,2
higher,2
projected,2
understandable,2
manner,2
state,2
note,2
collaborate,2
vegetation,2
scientific,2
agricultural,2
carry,2
demanding,2
two,2
promoted,2
advance,2
ready,2
solar,2
wide,2
passive,2
back,2
availability,2
seek,2
diesel,2
prevents,2
harmful,2
achieve,2
rain,2
drought,2
rethink,2
partnership,2
huge,2
instead,2
collective,2
agent,2
stance,2
fruit,2
largest,2
debate,2
frequency,2
stimulus,2
active,2
finep,2
gef,2
agenda,2
encourages,2
side,2
proven,2
rule,2
feed,2
program,2
paid,2
combating,2
cement,2
planet,2
impacted,2
burning,2
indicator,2
gasoline,2
atmosphere,2
associated,2
nationally,2
safe,2
separate,2
cultural,2
achieving,2
concentration,2
cane,2
mistaken,2
produced,2
direct,2
participation,2
conditioned,2
vector,2
dengue,2
deadline,2
stabilization,2
conversion,2
limitation,2
refrigerant,2
al,2
segment,2
hand,2
estimated,2
caused,2
ambitious,2
business,2
planted,2
daily,2
allowed,2
emitter,2
investing,2
environment,2
refrigeration,2
index,2
meet,2
stage,2
allocation,2
model,2
concrete,2
positive,2
carried,2
adequate,2
involves,2
sanitation,2
expanding,2
socio,2
theview,2
expert,2
transparency,2
multiple,2
work,2
coeq,2
enabling,2
achievement,2
leave,2
efficient,2
consideration,2
highlight,2
lower,2
mixed,2
get,2
differentiatedresponsibilitiesmust,2
recognize,2
pde,2
capture,2
assessment,2
critical,2
given,2
diversified,2
allowing,2
issueof,2
prevail,2
throughout,1
attention,1
recognizing,1
intensified,1
norway,1
performance,1
degradation,1
amazon,1
eventually,1
whichanystructuralchangeswill,1
cooperate,1
demographicgrowth,1
starting,1
differentiatedresponsibility,1
inthe,1
exclusively,1
arising,1
mrv,1
redd,1
depend,1
germany,1
develops,1
cover,1
created,1
bedifficultand,1
provides,1
half,1
furniture,1
againstemisãoco,1
fabricstdowould,1
step,1
donetroughthe,1
thecannabiswould,1
stimulating,1
thecountry,1
naturalresources,1
merit,1
probably,1
beat,1
plantedarea,1
china,1
beautiful,1
sprouting,1
impacting,1
usepesticideson,1
ifnotthe,1
cut,1
reciprocity,1
consuming,1
ofthese,1
help,1
special,1
othernationsbut,1
assume,1
formal,1
evaluating,1
comparability,1
review,1
overthefront,1
robust,1
bargaining,1
yet,1
territory,1
themethodspresented,1
assist,1
unable,1
maturity,1
marijuana,1
using,1
capability,1
correspond,1
promoting,1
converting,1
notdemand,1
fumigation,1
united,1
europe,1
bilateral,1
importantehseelighteningandadaptationas,1
acompetitive,1
whena,1
manufacturer,1
innovative,1
hedoes,1
sameinnovationand,1
toxic,1
inbulksilos,1
meat,1
arecountriesthat,1
establishment,1
openhandof,1
exchange,1
ownership,1
theform,1
ofcredits,1
benefiting,1
whichareof,1
withsharesoflightening,1
includes,1
sell,1
themechanisms,1
ofbioelectricitywith,1
oil,1
oftransferofcreditsenvironmental,1
othercountriesshould,1
shoulddiscouragethe,1
morbidity,1
theenvironmental,1
qualityehfoundation,1
respiratory,1
undermine,1
tocountrieswith,1
admission,1
respect,1
hospital,1
toattractionof,1
thelighteningeha,1
externality,1
taxed,1
thegdpwith,1
grain,1
residue,1
sectorseconomicnational,1
accelerated,1
fairnessmustbe,1
channeling,1
unitedkingdom,1
financially,1
offsetting,1
substantial,1
abenefitfor,1
ofpesticidesin,1
positioning,1
justifies,1
rely,1
limiting,1
complemented,1
thermodynamic,1
amount,1
allocated,1
pricingpolicies,1
sectorial,1
federal,1
adoptcompatible,1
budget,1
execution,1
subsidizes,1
elaboration,1
australia,1
away,1
recipient,1
staying,1
excellent,1
stated,1
participant,1
charged,1
leaving,1
slowly,1
evolved,1
attitude,1
becoming,1
montreal,1
adopts,1
posture,1
substitution,1
foreign,1
aid,1
cfc,1
hcfc,1
disseminate,1
rein,1
reason,1
nordic,1
consumer,1
evenif,1
burden,1
withqualificationenvironmental,1
criterion,1
iconsiderthat,1
inspection,1
cycle,1
publicity,1
evaluationcommittee,1
evidence,1
whose,1
pioneering,1
grow,1
continuing,1
harming,1
qualificationshould,1
betterdistributed,1
platform,1
penalize,1
thatprevilegiemthequaliddeenvironmental,1
growing,1
parent,1
thefield,1
discus,1
together,1
ofactionsoflighteningandadaptation,1
sovereignty,1
day,1
theposition,1
thewind,1
nightmare,1
anthropic,1
revisionofcriteirostofinaciamentoactivitieseconomicrelated,1
dangerous,1
andproductionagriculture,1
primarily,1
prioritizing,1
moreresilientand,1
betterswingofghgs,1
maintaintheexpansionof,1
farmand,1
every,1
anationalpolicyfor,1
theuseof,1
abandon,1
idea,1
revolution,1
focusing,1
imminent,1
problem,1
guided,1
grows,1
sectorseconomicthat,1
exemption,1
individual,1
ofconstructioncivil,1
conserved,1
forestarethose,1
inconstructioncivil,1
thatmany,1
performanceeconomicof,1
woodehmaterialcharacteristicsmechanicalexcellent,1
andavailableto,1
location,1
thereductionof,1
withreplacementofpartsandmaintenanceofresidences,1
supporting,1
participate,1
berootedin,1
ofproductionandprovidetheservices,1
theprinciplegeneralhto,1
reduceemissionsper,1
equalconditionsfor,1
annual,1
allcountries,1
residentialeffluents,1
industrialand,1
ofcommercial,1
aneffectiveway,1
thespeciesmost,1
cultivation,1
supplier,1
theterritorycovered,1
brazilarequite,1
whilethe,1
isnopublicfundingfor,1
overtaxing,1
operation,1
saltin,1
thepre,1
wooden,1
isimportant,1
house,1
drinking,1
job,1
theme,1
forconstructioncivil,1
toadaptationandlighteningthechangesclimatic,1
institution,1
integrating,1
favor,1
thedistributionof,1
sectorehwhich,1
pushing,1
creates,1
interference,1
consensus,1
organize,1
north,1
discussed,1
fully,1
temperature,1
cumulative,1
effect,1
ass,1
barrier,1
adjusted,1
whenconsideringother,1
observer,1
analyzes,1
mcti,1
concept,1
sharing,1
analyzing,1
compatible,1
american,1
propose,1
höhneet,1
prospect,1
contemporary,1
th,1
human,1
feasible,1
burdensharing,1
strategically,1
useful,1
adjustmentof,1
sporting,1
coupled,1
consequent,1
engineering,1
venture,1
cuba,1
venezuela,1
ability,1
optimization,1
helping,1
incorporates,1
wealth,1
put,1
gradual,1
criteriaof,1
thenationalpolicyon,1
series,1
demographic,1
iterationbetween,1
andresilientto,1
progressive,1
offer,1
indicate,1
beingof,1
mexico,1
conservation,1
thenationally,1
driving,1
force,1
behind,1
bear,1
reflects,1
reactive,1
valid,1
ceiling,1
denounce,1
ineffectiveness,1
particularly,1
relatively,1
significantly,1
expensive,1
want,1
cave,1
close,1
dream,1
sensible,1
concerned,1
andwell,1
experience,1
play,1
strategic,1
ipcc,1
et,1
mathews,1
ibge,1
inhabitant,1
coe,1
gt,1
corresponds,1
keeping,1
maximizes,1
ar,1
protagonist,1
council,1
allocating,1
signatory,1
wait,1
outside,1
assistance,1
aim,1
leading,1
conditional,1
seat,1
un,1
technologytransformation,1
recommends,1
reserve,1
depends,1
auction,1
advantageous,1
healthy,1
competition,1
fostering,1
externalitiesof,1
sugarcanebioelectricityand,1
sugarcane,1
whether,1
orbioelectricity,1
establishing,1
thenamasdefined,1
stride,1
controlling,1
shown,1
ambitiously,1
orrevenueforfeiture,1
saving,1
ii,1
transversal,1
iii,1
ofpublicpoliciesbased,1
prosperity,1
understanding,1
interested,1
party,1
ceilingalreadyawake,1
aneconomic,1
watt,1
total,1
giga,1
science,1
ten,1
revision,1
youcanreplace,1
beneficial,1
sacrifice,1
adopt,1
hydrous,1
anhydrous,1
billion,1
liter,1
create,1
transformation,1
ongoing,1
removing,1
thisapplies,1
termeconometrics,1
crucial,1
anypoliticalapproach,1
environmentalpoint,1
compared,1
furthermore,1
ofbioelectricitygenerationwith,1
bagasse,1
straw,1
reach,1
average,1
aneffective,1
publicpolicyneeds,1
several,1
bearing,1
entrepreneur,1
validity,1
reestablishment,1
contain,1
maneuver,1
detriment,1
room,1
adopted,1
response,1
snegotiations,1
countryin,1
industrialdevelopment,1
otherindustrialized,1
developedcountries,1
reducecivilization,1
occur,1
legislation,1
satisfactorily,1
complied,1
withdraw,1
refuse,1
comparison,1
thetopic,1
interministerial,1
committee,1
valuable,1
nosuccessfulexamplesof,1
earlyaction,1
crisis,1
thenamasestablished,1
andbioelectricity,1
mind,1
allnations,1
lowest,1
thesepublicpoliciesmust,1
pricing,1
law,1
decree,1
fee,1
contracting,1
emphasis,1
thenext,1
farm,1
employed,1
effectiveness,1
ofbrazilianpolicyin,1
remunerating,1
besteffortsmust,1
understoodthat,1
thisway,1
quantify,1
themitigationpoliciesthat,1
registered,1
andalsoadapt,1
quantified,1
methodology,1
animportantreferencefor,1
ministry,1
represented,1
questionable,1
remains,1
intelligent,1
alongside,1
achieved,1
century,1
therightmixbetween,1
quick,1
longer,1
function,1
governance,1
choice,1
facilitated,1
optimal,1
opposition,1
debt,1
accesstoquality,1
aggressive,1
come,1
thinking,1
impossible,1
globalized,1
everyone,1
concentrate,1
mistake,1
improved,1
built,1
lesser,1
mitigating,1
profitable,1
conservative,1
earn,1
field,1
contributes,1
intermediate,1
doesnotmakesense,1
expression,1
mixing,1
suggest,1
broad,1
complete,1
inorder,1
forsuccessfulenvironmental,1
prerequisite,1
emits,1
comparatively,1
exploration,1
unit,1
projection,1
shift,1
imported,1
linked,1
understandthat,1
ofideas,1
reinforce,1
dichotomy,1
false,1
negative,1
word,1
implemented,1
contributing,1
activityeconomically,1
disease,1
cousin,1
reviewing,1
ratio,1
look,1
everywhere,1
knowing,1
haveseveralother,1
alternativesalreadyshown,1
duration,1
certainly,1
facing,1
thepharmaceuticallobbywe,1
jump,1
think,1
lobbyist,1
advancement,1
lacking,1
protect,1
unfavorable,1
comfortable,1
living,1
generates,1
expense,1
immediate,1
reconstructionsto,1
themost,1
frequent,1
tragedy,1
adjusting,1
foreseeing,1
processmust,1
efficiently,1
malaria,1
region,1
immune,1
sharesoflighteningarea,1
arenewableenergymatrixand,1
ofthermics,1
generatingelectricwhile,1
othercountriesnotalcanceremthemetricbrazilian,1
isaumentnarcost,1
ourhydraulicpotentialwill,1
horizon,1
usethermicsthat,1
sight,1
additionally,1
losing,1
industrialized,1
hdis,1
alsoforthese,1
reasonthey,1
equal,1
improve,1
adevelopingcountry,1
suffers,1
standard,1
tripod,1
viable,1
greatly,1
programsofadaptationmultisectoralmainly,1
producer,1
palliative,1
recentgreen,1
architecture,1
estate,1
rising,1
sea,1
coastal,1
care,1
synergy,1
unfortunately,1
size,1
understood,1
recommend,1
line,1
allocate,1
inefficient,1
preparation,1
dissemination,1
possibly,1
worth,1
toprovidethis,1
timely,1
reflect,1
rapid,1
aspect,1
uncertainty,1
occurrence,1
toilet,1
seein,1
generationhydroelectric,1
coherent,1
power,1
theproblem,1
causing,1
ofphysicalguarantee,1
vulnerabilitiesand,1
mitigationsand,1
excess,1
shortage,1
resourceswater,1
affected,1
protection,1
slope,1
remembering,1
ofpesticidesto,1
produce,1
thingstroughofhemp,1
clothes,1
become,1
havetotal,1
extinguish,1
felling,1
replace,1
severalmaterialsthat,1
killing,1
slave,1
owner,1
thepharmaceuticals,1
changeoversystempolyhydricto,1
implies,1
regulation,1
park,1
geography,1
crop,1
micro,1
algae,1
animal,1
e,1
f,1
diffusion,1
treatment,1
effluent,1
g,1
soil,1
irrigation,1
adopting,1
apply,1
thesepolicies,1
andmuch,1
worse,1
belief,1
unjustified,1
violation,1
everything,1
elaborated,1
organized,1
got,1
effectively,1
compromise,1
intends,1
originated,1
particulate,1
quantity,1
interconnected,1
transmission,1
theexchangeof,1
optimized,1
store,1
manage,1
dry,1
likewise,1
bioelectricity,1
shp,1
edge,1
thermoelectricpowerstationsare,1
provide,1
sin,1
composition,1
unaware,1
combination,1
embryonic,1
simply,1
image,1
vehicle,1
b,1
setting,1
enlargement,1
biocherosene,1
aviation,1
c,1
evaluation,1
cp,1
forthesemi,1
adaptconstructioncivil,1
pnhr,1
theministryof,1
allowingfinanceciamentopublicofresidentialwood,1
foramazoniabrasileira,1
expanded,1
almostall,1
civilized,1
worldalreadyhas,1
launchedproject,1
focused,1
increasedconstructioncalendar,1
tochangesclimaticand,1
generatecreditscarbon,1
woodisgood,1
fao,1
invest,1
useof,1
relationship,1
coping,1
easy,1
called,1
upon,1
stand,1
opinion,1
itamaraty,1
chose,1
confirm,1
economyehfundamental,1
incivilconstructionin,1
recommendation,1
little,1
aridnortheast,1
asareasurban,1
rural,1
prone,1
flooding,1
anddeslisamentos,1
thispanorama,1
sure,1
big,1
fire,1
aviciouscircleof,1
reductionof,1
pattern,1
grid,1
refugee,1
pollution,1
scarcity,1
sending,1
ore,1
abroad,1
vulnerabilityofthe,1
environmentdue,1
space,1
civilconstruction,1
theconstructionehcausing,1
worldwide,1
includingemissionsof,1
desire,1
entity,1
politics,1
triggeringbiogeochemicalprocessesto,1
stormsetc,1
stake,1
piped,1
service,1
changing,1
nothing,1
obvious,1
moving,1
livestock,1
input,1
steel,1
difficult,1
solve,1
encouraged,1
identification,1
putting,1
territorially,1
extensive,1
immense,1
empower,1
deal,1
preserved,1
live,1
register,1
although,1
subject,1
constructed,1
design,1
prove,1
separation,1
complex,1
engine,1
medium,1
costswillalwaysexist,1
acting,1
locally,1
positively,1
reversed,1
distribute,1
conserving,1
balance,1
reference,1
sequestration,1
variation,1
biodiesel,1
intensification,1
ascenarioof,1
uncertain,1
hypothesis,1
name,1
withregard,1
oninfrastructure,1
favoring,1
river,1
emphasized,1
biofuels,1
discourage,1
sugar,1
